102,East Murray Area School,1182 East Murray Area School Road,Mindarie,5309,-34.815955,140.216073
104,Coromandel Valley Primary School,339 Main Road,Coromandel Valley,5051,-35.033562,138.626758
105,Glossop High School Senior Campus,36 Kay Avenue,Berri,5343,-34.284555,140.602515
106,Cowandilla Primary School,21 Jenkins Street,Cowandilla,5033,-34.934543,138.558874
107,Crafers Primary School,55 Piccadilly Road,Crafers,5152,-34.993387,138.71348
111,Crystal Brook Primary School,7 Mitchell Street,Crystal Brook,5523,-33.352948,138.213543
114,Curramulka Primary School,Sixth Street,Curramulka,5580,-34.695502,137.713697
116,Murray Bridge Special School,1 North Terrace,Murray Bridge,5253,-35.115681,139.269869
120,Gilles Street Primary School,91 Gilles Street,Adelaide,5000,-34.93449,138.604464
123,Echunga Primary School,802 Echunga Road,Echunga,5153,-35.097706,138.79085
124,Eden Hills Primary School,78 Wilpena Street,Eden Hills,5050,-35.020546,138.595317
126,Edithburgh Primary School,Giles Terrace,Edithburgh,5583,-35.080214,137.74404
127,Edwardstown Primary School,Maria Street,Melrose Park,5039,-34.978729,138.57801
128,Elliston Area School,,Elliston,5670,-33.644153,134.892451
131,Norwood Primary School,37 Osmond Terrace,Norwood,5067,-34.9224034,138.63167
135,Flinders Park Primary School,70 Holbrooks Road,Flinders Park,5025,-34.911103,138.54754
136,Lenswood Primary School,Adelaide-Lobethal Road,Lenswood,5240,-34.922274,138.823468
138,Frances Primary School,Bradley Avenue,Frances,5262,-36.708483,140.956465
139,Freeling Primary School,Coulls Street,Freeling,5372,-34.457881,138.811701
141,Gawler Primary School,School Road,Gawler,5118,-34.597541,138.740692
142,Evanston Gardens Primary School,71 Angle Vale Road,Evanston Gardens,5116,-34.623986,138.720025
144,Georgetown Primary School,41 School Road,Georgetown,5472,-33.363733,138.38608
145,Geranium Primary School,1-3 Geranium Terrace,Geranium,5301,-35.378728,140.160067
146,Gilles Plains Primary School,Beatty Avenue,Hillcrest,5086,-34.858157,138.651728
147,Gladstone Primary School,2 West Terrace,Gladstone,5473,-33.266137,138.350584
148,Glenburnie Primary School,36 Kromelite Road,Glenburnie,5291,-37.84041,140.863876
152,Glen Osmond Primary School,5 Fisher Street,Myrtle Bank,5064,-34.957051,138.637255
153,Glossop Primary School,Mitchell Terrace,Glossop,5344,-34.271342,140.524768
156,Goodwood Primary School,140 Goodwood Road,Goodwood,5034,-34.951434,138.588694
157,Goolwa Primary School,Gardiner Street,Goolwa,5214,-35.497553,138.780252
160,Greenock Primary School,Bevan Street,Greenock,5360,-34.459939,138.921793
162,Gumeracha Primary School,Albert Street,Gumeracha,5233,-34.824981,138.880956
163,Hahndorf Primary School,12 Church Street,Hahndorf,5245,-35.027625,138.810629
167,Hamley Bridge Primary School,13 Florence Street,Hamley Bridge,5401,-34.354549,138.684929
169,Rose Park Primary School,54 Alexandra Avenue,Rose Park,5067,-34.93161,138.628893
171,Happy Valley Primary School,18 Education Road,Happy Valley,5159,-35.087062,138.583603
175,Hawker Area School,Arkaba Street,Hawker,5434,-31.89042,138.427892
176,Heathfield Primary School,201 Longwood Road,Heathfield,5153,-35.03002,138.727311
177,Henley Beach Primary School,38 Hazel Terrace,Henley Beach South,5022,-34.929734,138.499429
179,North Adelaide Primary School,62-80 Tynte Street,North Adelaide,5006,-34.905096,138.597558
187,Houghton Primary School,1376 Lower North East Road,Houghton,5131,-34.831521,138.759129
194,Jervois Primary School,Rayson Street,Jervois,5259,-35.266177,139.437094
195,Youth Education Centre,Goldsborough Road,Cavan,5094,-34.828265,138.60253
197,Kalangadoo Primary School,48B Kangaroo Flat Road,Kalangadoo,5278,-37.564684,140.695568
198,Kangarilla Primary School,Main Road,Kangarilla,5157,-35.147815,138.659484
200,Kapunda Primary School,Mildred Street,Kapunda,5373,-34.337951,138.918029
202,Alberton Primary School,14 Broad Street,Queenstown,5014,-34.862675,138.51264
204,Kersbrook Primary School,Bowden Street,Kersbrook,5231,-34.782306,138.849719
205,Keyneton Primary School,,Keyneton,5353,-34.554333,139.1338
207,Kilkenny Primary School,Jane Street,West Croydon,5008,-34.890764,138.552731
209,Kingston on Murray Primary School,East Terrace,Kingston on Murray,5331,-34.222619,140.346866
210,Aldgate Primary School,3 Fairview Road,Aldgate,5154,-35.019502,138.748939
211,Kongorong Primary School,34 School Road,Kongorong,5291,-37.902241,140.560875
212,Koolunge Primary School,,Koolunga,5464,-33.580835,138.335026
214,Mid North Education Centre,David Street,Port Pirie,5540,-33.17503,138.005415
218,Eastern Fleur Langhorne Creek Campus,,Langhorne Creek,5255,-35.296945,139.035993
219,Largs Bay School,215 Fletcher Road,Largs Bay,5016,-34.823557,138.49427
220,Laura Primary School,East Terrace,Laura,5480,-33.187073,138.303714
221,Le Fevre Peninsula Primary School,Shorney Street,Birkenhead,5015,-34.840072,138.495412
222,Aldinga Beach R-7 School,Quinliven Road,Aldinga,5173,-35.268942,138.461849
223,Light Pass Primary School,395 Light Pass Road,Light Pass,5355,-34.46919,139.025019
225,Littlehampton Primary School,16-30 Baker Street,Littlehampton,5250,-35.049605,138.868025
227,Lobethal Primary School,1 School Road,Lobethal,5241,-34.90169,138.871723
230,Lock Area School,West Terrace,Lock,5633,-33.567909,135.753344
231,Lockleys Primary School,29 Elston Street,Brooklyn Park,5032,-34.930203,138.535095
235,Loveday Primary School,Hunt Road,Loveday,5345,-34.281907,140.42025
237,Lyndoch Primary School,Margaret Street,Lyndoch,5351,-34.60554,138.885678
239,Macclesfield Primary School,Luck Street,Macclesfield,5153,-35.171357,138.838503
241,Mallala Primary School,28 Owen Road,Mallala,5502,-34.434716,138.510526
242,Angaston Primary School,5 Moculta Road,Angaston,5353,-34.499092,139.050833
245,Manoora Primary School,3 Weymouth Street,Manoora,5414,-34.006284,138.814121
248,Marree Aboriginal School,First Street,Marree,5733,-29.649196,138.061033
249,Marryatville Primary School,Dankel Avenue,Kensington,5068,-34.924542,138.649185
250,McLaren Flat Primary School,49 Main Road,McLaren Flat,5171,-35.206109,138.587206
251,McLaren Vale Primary School,Caffrey Street,McLaren Vale,5171,-35.211634,138.531402
252,Meadows Primary School,Mawson Road,Meadows,5201,-35.180498,138.761924
253,Melrose Primary School,29 Stuart Street,Melrose,5483,-32.823832,138.187995
255,Angle Vale Primary School,Heaslip Road,Angle Vale,5117,-34.643388,138.647377
262,Eastern Fleurieu Milang Campus,Cnr Coxe & Rivers Streets,Milang,5256,-35.405862,138.973123
265,Mil Lel Primary School,465 Kennedy Avenue,Mil-Lel,5291,-37.781125,140.825631
269,Farrell Flat Primary School,Love Street,Farrell Flat,5416,-33.919182,138.719942
270,Mitcham Primary School,Hillview Road,Kingswood,5062,-34.972879,138.616131
272,Modbury School Preschool to Year 7,2-18 Golden Grove Road,Modbury North,5092,-34.825905,138.692227
274,Monash Primary School,22 Jackson Street,Monash,5342,-34.236306,140.559419
279,Moorak Primary School,171 Yells Road,Moorak,5291,-37.86465,140.736981
280,Moorook Primary School,Wachtel Rd,Moorook,5332,-34.276231,140.351142
282,Morgan Primary School,Fourth Street,Morgan,5320,-34.029492,139.670335
285,Mount Barker Primary School,2A Dumas Street,Mount Barker,5251,-35.067641,138.853522
288,Mount Burr Primary School,Thomas Drive,Mount Burr,5279,-37.54095,140.459314
289,Mount Compass Area School,School Road,Mount Compass,5210,-35.350201,138.619759
290,Reidy Park Primary School,O'Halloran Terrace,Mount Gambier,5290,-37.834544,140.771765
293,Mount Pleasant Primary School,22 Hospital Road,Mount Pleasant,5235,-34.774395,139.053867
,,,,,,
296,Mount Torrens Primary School,39 Prescott Street,Mount Torrens,5244,-34.872528,138.964449
297,Mundulla Primary School,,Mundulla,5270,-36.357628,140.693069
299,Murray Bridge North School,1 North Terrace,Murray Bridge,5253,-35.115804,139.269327
301,Mylor Primary School,220 Strathalbyn Road,Mylor,5153,-35.040969,138.760093
302,Mypolonga Primary School,,Mypolonga,5254,-35.040591,139.357523
303,Myponga Primary School,Hutchinson Street,Myponga,5202,-35.392694,138.464452
305,Nailsworth Primary School,2 Balfour Street,Nailsworth,5083,-34.88242,138.603752
306,Nairne Primary School,5 Saleyard Road,Nairne,5252,-35.03837,138.903539
308,Napperby Primary School,Oaks Road,Napperby,5540,-33.153603,138.11349
309,Naracoorte Primary School,Park Terrace,Naracoorte,5271,-36.951082,140.738119
313,Old Noarlunga Primary School,Malpas Street,Old Noarlunga,5168,-35.182997,138.500633
314,Northfield Primary School,North Avenue,Northfield,5085,-34.849012,138.61972
316,Norton Summit Primary School,15 Crescent Drive,Norton Summit,5136,-34.927695,138.728837
318,Nuriootpa Primary School,15 Buna Terrace,Nuriootpa,5355,-34.472908,139.001322
322,One Tree Hill Primary School,McGilp Road,One Tree Hill,5114,-34.713101,138.766547
323,Coorara Primary School,Taylors Avenue,Morphett Vale,5162,-35.131326,138.542009
324,Oodnadatta Aboriginal School,Kutaya Tce,Oodnadatta,5734,-27.548914,135.445834
325,Owen Primary School,Fourth Street,Owen,5460,-34.271796,138.542669
326,Palmer Primary School,Olive Grove Avenue,Palmer,5237,-34.853574,139.161721
