Location no.,Name,,Address 1 formatted postal,Address 2 formatted physical,phone,fax,contact,email,portfolio code,enrol FTE,Description
1001,Amata Anangu School,,"PMB 113, Amata, Alice Springs Private Bags NT 0872",Amata SA 0872,(08) 8956 2922,(08) 8956 7554,Mr Greg Wirth,dl.1001.Admin@schools.sa.edu.au,09,121.4,Aboriginal/Anangu Schools
0981,Carlton School,,"PO Box 1744, Port Augusta SA 5700","Rupert Street, Port Augusta SA 5700",(08) 8642 2281,(08) 8642 3222,Ms Kaylee Kent,dl.0981.Admin@schools.sa.edu.au,20,59,Aboriginal/Anangu Schools
1034,Ernabella Anangu School,,"PMB 63, via Alice Springs, Alice Springs Private Bags NT 0872",Ernabella SA 0872,(08) 8956 2977,(08) 8956 2930,Ms Sue Record,dl.1034.Admin@schools.sa.edu.au,09,126,Aboriginal/Anangu Schools
1196,Fregon Anangu School,,"PMB 132 via Alice Springs, Alice Springs Private Bags NT 0872",Fregon SA 0872,(08) 8956 2955,(08) 8956 7555,Mr Mark Ames,dl.1196.Admin@schools.sa.edu.au,09,55,Aboriginal/Anangu Schools
1174,Indulkana Anangu School,,"PMB 20, Alice Springs Private Bags NT 0872",Indulkana SA 0872,(08) 8670 7984,(08) 8670 7945,Ms Paula McGuire,dl.1174.Admin@schools.sa.edu.au,09,92,Aboriginal/Anangu Schools
1792,Kaurna Plains School,,,"85 Ridley Road, Elizabeth SA 5112",(08) 8252 4419,(08) 8252 3482,Ms Bronwyn Milera,dl.1792.Admin@schools.sa.edu.au,03,69,Aboriginal/Anangu Schools
1696,Kenmore Park Anangu School,,"PMB 258, Kenmore Park SA 0872",Kenmore Park SA 0872,(08) 8956 2990,(08) 8956 7511,Ms Margaret Ruff,dl.1696.Admin@schools.sa.edu.au,09,15,Aboriginal/Anangu Schools
1003,Koonibba Aboriginal School,,"PMB 9, Ceduna SA 5690","Koonibba, Koonibba SA 5690",(08) 8625 0006,(08) 8625 0005,Mr Wade Branford,dl.1003.Admin@schools.sa.edu.au,18,36,Aboriginal/Anangu Schools
0248,Marree Aboriginal School,,,"First Street, Marree SA 5733",(08) 8675 8358,(08) 8675 8370,Mr Stewart Rhodes,dl.0248.Admin@schools.sa.edu.au,20,18.5,Aboriginal/Anangu Schools
1527,Mimili Anangu School,,"Mimili, PMB 58, via Alice Springs NT 0872",Mimili SA 0872,(08) 8956 2999,(08) 8956 7556,Mr Louka Parry,dl.1527.Admin@schools.sa.edu.au,09,60,Aboriginal/Anangu Schools
1859,Murputja Anangu School,,"PMB 150, via Alice Springs NT 0872",Murputja Homelands SA 0872,(08) 8956 7357,(08) 8956 7565,Mrs Elizabeth Handy,dl.1859.Admin@schools.sa.edu.au,09,31,Aboriginal/Anangu Schools
1009,Oak Valley Aboriginal School,,"PMB 18, via Ceduna, Ceduna SA 5690",Oak Valley SA 5690,(08) 8670 4205,(08) 8670 4234,Ms Ineke Gilbert,dl.1009.Admin@schools.sa.edu.au,09,31,Aboriginal/Anangu Schools
0324,Oodnadatta Aboriginal School,,"c/- Post Office, Oodnadatta SA 5734","Kutaya Tce, Oodnadatta SA 5734",(08) 8670 7823,(08) 8670 7808,Mr Peter Loades,dl.0324.Admin@schools.sa.edu.au,20,42,Aboriginal/Anangu Schools
1526,Pipalyatjara Anangu School,,"PMB 75, via Alice Springs NT 0872",Pipalyatjara SA 0872,(08) 8956 7560,(08) 8956 7504,Ms Ngaire Benfell,dl.1526.Admin@schools.sa.edu.au,09,58,Aboriginal/Anangu Schools
0846,Point Pearce Aboriginal School,,"Box 14, Maitland SA 5573","Parrys Avenue, Point Pearce SA 5573",(08) 8836 7210,(08) 8836 7234,Mr Ron Watson,dl.0846.Admin@schools.sa.edu.au,02,12,Aboriginal/Anangu Schools
0845,Raukkan Aboriginal School,,,"Taplin Street, Raukkan SA 5259",(08) 8574 0042,(08) 8574 0030,Ms Suzanne Sifa,dl.0845.Admin@schools.sa.edu.au,15,18,Aboriginal/Anangu Schools
1717,Watarru Anangu School,,"Watarru Community, PMB 204, via Alice Springs NT 0872",Pipalyatjara SA 0872,(08) 8956 7881,(08) 8956 2820,Mrs Elizabeth Handy,,09,0,Aboriginal/Anangu Schools
0999,Yalata Anangu School,,"PMB 22, Ceduna SA 5690",Yalata SA 5690,(08) 8625 6280,(08) 8625 6296,Mr Bob Sim,dl.0999.Admin@schools.sa.edu.au,09,58,Aboriginal/Anangu Schools
,,,,,,,,,,,
