ID,Title,PostCode,Suburb,Street Address,Postal Address,Telephone,Alt Telephone,Fax,Email,Website,Description,Longitude,Latitude,Can drop off?,EPA licence
1094,AAA Recycling Pty Ltd,5110,Burton,"551 Waterloo Corner Road, Burton 5110",551 Waterloo Corner Road Burton 5110,(08) 8280 6350,(08) 8280 8078,(08) 8280 5307,info@aaarecycling.com.au,http://www.aaarecycling.com.au,Recycles all Container Deposits  plastic  cardboard and paper Non-ferrous Metal. Recycle batteries (car and truck batteries only)  Glass (bottles and jars only)  hard and Soft Plastic (bottles only). We do not recycle computers.,138.5950,-34.7331,1,24364
1095,Aaron's Scrap Metal,5160,Lonsdale,"9 Chrysler Road, Lonsdale 5160",17 Boundary Road Glenelg South 5045,(08) 8326 3222,NULL,NULL,ausbroke@bigpond.net.au,NULL,"Opening hours: Monday-Friday 8:30am-5:00pm, Saturday 8:30am-4:00pm. Bin service available. Recycles all forms of scrap metal. Cars  trucks  buses  caravans and machinery  ferrous and Non-ferrous Metal and building demolition materials and batteries (lead/acid only), e-waste and White Goods. Note we do not recycle concrete or timber.",138.4890,-35.0957,1,Applied for. T.B.A
1096,Active Battery Discounters,5013,Wingfield,"11 Capelli Road, Wingfield 5013",11 Capelli Road Wingfield 5013,(08) 8349 6624,NULL,(08) 8349 5433,NULL,NULL,Recycles Non-ferrous Metal (electrical cable) and batteries. Note that we only accept degassed refrigerators.,138.5650,-34.8455,1,
1097,Adelaide & Rural Salvage,5013,Wingfield,"283 Hanson Road, Wingfield 5013","283 Hanson Road, Wingfield SA 5013",(08) 8345 4799,NULL,(08) 8347 0172,sales@adelaideruralsalvage.com.au,http://www.adelaideruralsalvage.com.au,"We recycle Building and Demolition Materials. To organise a pick up please give us a call. Alternatively you can drop these materials off at our Wingfield site. Please note that we accept materials at our discretion. Opening hours Mon-Fri 8am-5pm, Sat 8am-3pm. Closed Sunday and Public Holidays.",138.5470,-34.8505,1,NA
1098,Adelaide & Statewide Tallow,5013,Wingfield,"89 Wing Street, Wingfield 5013",89 Wing Street Wingfield 5013,0419 854 656,(08) 8162 9084,(08) 8162 9084,NULL,NULL,Recycles Cooking Oil and provides a free pick-up service.,138.5670,-34.8366,1,
1099,Adelaide Cartridge Remanufacturing Co,5031,Torrensville,"221 Henley Beach Road, Torrensville 5031",PO Box 497 Torrensville 5031,(08) 8234 9252,0413 668 156,(08) 8234 0554,eric@adelaidecartridge.com,http://www.adelaidecartridge.com,Adelaide Cartridge Remanufacturing Co is a drop-off location for the recycling of Printer and Toner Cartridges.,138.5560,-34.9246,0,
1100,Adelaide Hills Council - Gumeracha Service Centre,5233,Gumeracha,"45 Albert Street, Gumeracha 5233",PO Box 44 Woodside 5244,(08) 8408 0400,NULL,(08) 8389 7440,mail@ahc.sa.gov.au,http://www.ahc.sa.gov.au,Domestic Garbage collected weekly in 140L bin (blue lid) supplied by council. Recycling collected fortnightly in 240L bins (yellow lid) supplied by council .  This includes recycling of all Container Deposits and hard and Soft Plastic.,138.8860,-34.8217,0,
1104,Adelaide Hills Council - Heathfield Waste and Recycling Depot,5153,Heathfield,"Scott Creek Road, Heathfield 5153",PO Box 44 Woodside 5244,(08) 8339 4323,(08) 8408 0400,NULL,mail@ahc.sa.gov.au,http://www.ahc.sa.gov.au,"Open 7 days a week 8am to 2pm. Closed Christmas Day, Good Friday and Total Fire Ban days.",138.7130,-35.0313,1,EPA 353
1105,Adelaide Hills Council - Stirling Service Centre,5152,Stirling,"63 Mount Barker Road, Stirling 5152",PO Box 44 Woodside 5244,(08) 8408 0400,NULL,(08) 8389 7440,mail@ahc.sa.gov.au,http://www.ahc.sa.gov.au,Domestic Garbage collected weekly in 140L bin (blue lid) supplied by council. Recycling collected fortnightly in 240L bins (yellow lid) supplied by council.  This includes recycling of all Container Deposits and hard and Soft Plastic.,138.7180,-35.0056,0,NA
1106,Adelaide Organic Recyclers,5160,Lonsdale,"66 Liston Road, Lonsdale 5160",10 Donegal Road Lonsdale 5160,(08) 8326 5033,NULL,(08) 8326 3840,admin@sawaste.com.au,http://www.sawastemanagement.com.au,Opening hours Mon-Fri 7:00am-5:00pm. Please note that we only accept trucks to drop off recycling materials. Adelaide Organic Recyclers is an EPA licensed depot for green organics treatment and concrete and masonry recycling.,138.5050,-35.0981,1,EPA 11799
1107,Adelaide Pallet Recycling,5013,Gillman,"(Rear of) 29 Wilkins Road, Gillman 5013",PO Box 2010 Port Adelaide 5015,(08) 8240 4000,0418 857 811,(08) 8240 3111,info@adelaidemulch.com.au,http://www.adelaidemulch.com.au,"We accept timber waste, from pallets to crates, boxes and other packaging waste. Bring them to us or we can pick up with our 12 pallet space truck to remove the timber waste from your site. Please remove shrink-wrap, cardboard, plastic, etc. from you loads. Open Monday to Friday 8:00am to 4:30pm.",0.0000,0.0000,1,EPA 23183
1108,Adelaide Plains Recycling,5501,Two Wells,"Lot 2 Middle Beach Road, Two Wells 5501",PO Box 766 Two Wells 5501,0428 824 712,(08) 8520 3419,(08) 8520 3169,eliz-recy@hotmail.com,NULL,Opening hours Mon-Sat 9am-12noon. Closed Public Holidays.,0.0000,0.0000,1,EPA 05/5068
1109,Adelaide Resource Recovery Pty Ltd,5013,Wingfield,"Hanson Road, Wingfield 5013",PO Box 234 Port Adelaide 5015,(08) 8244 8156,NULL,(08) 8268 7077,admin@arr.net.au,http://www.arr.net.au,Open 7 days a week,138.5460,-34.8481,1,18944
1110,Adelaide Vegetation Mulching Services,5160,Lonsdale,"10 Donegal Road, Lonsdale 5160",10 Donegal Road Lonsdale 5160,0413 431 221,NULL,(08) 8326 3840,ray@sawaste.com.au,http://www.sawastemanagement.com.au,Adelaide Vegetation Mulching Service (AVMS) was established by SA Waste Management (SAWM) in February 1993 and became the first fully mobile waste vegetation mulching service in South Australia. AVMS was established to handle large volumes of green waste. Note that we do not accommodate residential.,0.0000,0.0000,0,NA
1114,Adelaide Waste and Recycling Centre (also listed as City of West Torrens - North Plympton Waste Transfer Station),5037,North Plympton,"181 Morphett Road, North Plympton 5037",181 Morphett Road North Plympton 5037,(08) 8295 5790,NULL,(08) 8295 5778,solomari@solo.com.au,http://www.solo.com.au,Recycles all Container Deposits  non-deposit  paper  cardboard  tins/cans  soft and Hard Plastic  green organics  Gas Bottles  rubble  wood  electronic waste Used Motor Oil   ferrous and Non-ferrous Metal and computers.,138.5360,-34.9570,1,"EPA 242 (site), EPA 2446 (transportation)"
1115,Advanced Recycling Technologies,5160,Lonsdale,"3/13 Chrysler Road, Lonsdale 5160","3/13 Chrysler Road, Lonsdale",(08) 8186 5883,0411 882 138,(08) 8296 0938,info@advancedrecyclingtechnologies.com.au, http://www.advancedrecyclingtechnologies.com.au,"Opening hours Mon-Fri 8am-4:30pm, Sat 9am-12noon. Please note that drop off of recyclable materials is by arrangement on weekdays and within opening hours on Saturday. This is a professional licenced recycler (AU 22947). We recycle a majority of electrical products. Electronics such as televisions, monitors (CRT screens), computers, telephones, Fluorescent Tubes, printers, stereos, fridges/freezers, air conditioners etc. ART strives to achieve a recycle rate of 95-98% when recycling electronic waste and electrical waste. We are also licensed to de-gas fridges/freezers and air conditioners preventing harmful gases from entering the atmosphere and damaging the ozone layer and environment. Our aim is to fight climate change by taking small steps towards a better future for generations to come.",138.4880,-35.0970,1,28002
1116,Aldinga Recycle Centre,5173,Aldinga,"Lot 2 How Road, Aldinga 5173",PO Box 174 Aldinga Beach 5173,(08) 8556 5654,0417 814872; 0400 363 580,(08) 8557 6159,aldingarecycle@gmail.com,NULL," Pays for all containers bearing deposits, Wine Bottles packed separately, scrap metals including cars and car batteries.  Mon-Fri 8.30am-4.30pm;Sat 9:00am-2:00pm;Sun 10am-2:00pm.",138.4700,-35.2760,0,19464
